name,prompt,negative_prompt
Style: artstyle-surrealist\艺术风格-超现实主义,"surrealist art {prompt} . dreamlike, mysterious, provocative, symbolic, intricate, detailed","anime, photorealistic, realistic, deformed, glitch, noisy, low contrast"
Style: artstyle-typography\艺术风格排版,"typographic art {prompt} . stylized, intricate, detailed, artistic, text-based","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic"
Style: artstyle-watercolor\艺术风格-水彩,"watercolor painting {prompt} . vibrant, beautiful, painterly, detailed, textural, artistic","anime, photorealistic, 35mm film, deformed, glitch, low contrast, noisy"
Style: futuristic-biomechanical\未来生物力学,"biomechanical style {prompt} . blend of organic and mechanical elements, futuristic, cybernetic, detailed, intricate","natural, rustic, primitive, organic, simplistic"
Style: futuristic-biomechanical cyberpunk\未来生物力学赛博朋克,"biomechanical cyberpunk {prompt} . cybernetics, human-machine fusion, dystopian, organic meets artificial, dark, intricate, highly detailed","natural, colorful, deformed, sketch, low contrast, watercolor"
Style: futuristic-cybernetic\未来控制论,"cybernetic style {prompt} . futuristic, technological, cybernetic enhancements, robotics, artificial intelligence themes","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, historical, medieval"
Style: futuristic-cybernetic robot\未来控制论机器人,"cybernetic robot {prompt} . android, AI, machine, metal, wires, tech, futuristic, highly detailed","organic, natural, human, sketch, watercolor, low contrast"
Style: futuristic-cyberpunk cityscape\未来赛博朋克城市景观,"cyberpunk cityscape {prompt} . neon lights, dark alleys, skyscrapers, futuristic, vibrant colors, high contrast, highly detailed","natural, rural, deformed, low contrast, black and white, sketch, watercolor"
Style: futuristic-futuristic\未来派,"futuristic style {prompt} . sleek, modern, ultramodern, high tech, detailed","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, vintage, antique"
Style: futuristic-retro cyberpunk\未来复古赛博朋克,"retro cyberpunk {prompt} . 80's inspired, synthwave, neon, vibrant, detailed, retro futurism","modern, desaturated, black and white, realism, low contrast"
Style: futuristic-retro futurism\未来派-复古未来主义,"retro-futuristic {prompt} . vintage sci-fi, 50s and 60s style, atomic age, vibrant, highly detailed","contemporary, realistic, rustic, primitive"
Style: futuristic-sci-fi\未来科幻,"sci-fi style {prompt} . futuristic, technological, alien worlds, space themes, advanced civilizations","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, historical, medieval"
Style: futuristic-vaporwave\未来派蒸汽波,"vaporwave style {prompt} . retro aesthetic, cyberpunk, vibrant, neon colors, vintage 80s and 90s style, highly detailed","monochrome, muted colors, realism, rustic, minimalist, dark"
Style: game-bubble bobble\游戏-泡泡龙,"Bubble Bobble style {prompt} . 8-bit, cute, pixelated, fantasy, vibrant, reminiscent of Bubble Bobble game","realistic, modern, photorealistic, violent, horror"
Style: game-cyberpunk game\游戏-赛博朋克游戏,"cyberpunk game style {prompt} . neon, dystopian, futuristic, digital, vibrant, detailed, high contrast, reminiscent of cyberpunk genre video games","historical, natural, rustic, low detailed"
Style: game-fighting game游戏\格斗游戏,"fighting game style {prompt} . dynamic, vibrant, action-packed, detailed character design, reminiscent of fighting video games","peaceful, calm, minimalist, photorealistic"
Style: game-gta\游戏-gta,"GTA-style artwork {prompt} . satirical, exaggerated, pop art style, vibrant colors, iconic characters, action-packed","realistic, black and white, low contrast, impressionist, cubist, noisy, blurry, deformed"
Style: game-mario\游戏马里奥,"Super Mario style {prompt} . vibrant, cute, cartoony, fantasy, playful, reminiscent of Super Mario series","realistic, modern, horror, dystopian, violent"
Style: game-minecraft\ 游戏-我的世界,"Minecraft style {prompt} . blocky, pixelated, vibrant colors, recognizable characters and objects, game assets","smooth, realistic, detailed, photorealistic, noise, blurry, deformed"
Style: game-pokemon\游戏-口袋妖怪,"Pokémon style {prompt} . vibrant, cute, anime, fantasy, reminiscent of Pokémon series","realistic, modern, horror, dystopian, violent"
Style: game-retro arcade\游戏复古街机,"retro arcade style {prompt} . 8-bit, pixelated, vibrant, classic video game, old school gaming, reminiscent of 80s and 90s arcade games","modern, ultra-high resolution, photorealistic, 3D"
Style: game-retro game\游戏-复古游戏,"retro game art {prompt} . 16-bit, vibrant colors, pixelated, nostalgic, charming, fun","realistic, photorealistic, 35mm film, deformed, glitch, low contrast, noisy"
Style: game-rpg fantasy game\游戏-RPG奇幻游戏,"role-playing game (RPG) style fantasy {prompt} . detailed, vibrant, immersive, reminiscent of high fantasy RPG games","sci-fi, modern, urban, futuristic, low detailed"
Style: game-strategy game\游戏策略游戏,"strategy game style {prompt} . overhead view, detailed map, units, reminiscent of real-time strategy video games","first-person view, modern, photorealistic"
Style: game-streetfighter\游戏街头霸王,"Street Fighter style {prompt} . vibrant, dynamic, arcade, 2D fighting game, highly detailed, reminiscent of Street Fighter series","3D, realistic, modern, photorealistic, turn-based strategy"
Style: game-zelda\游戏塞尔达,"Legend of Zelda style {prompt} . vibrant, fantasy, detailed, epic, heroic, reminiscent of The Legend of Zelda series","sci-fi, modern, realistic, horror"
Style: misc-architectural\杂项建筑,"architectural style {prompt} . clean lines, geometric shapes, minimalist, modern, architectural drawing, highly detailed","curved lines, ornate, baroque, abstract, grunge"
Style: misc-disco\杂迪斯科,"disco-themed {prompt} . vibrant, groovy, retro 70s style, shiny disco balls, neon lights, dance floor, highly detailed","minimalist, rustic, monochrome, contemporary, simplistic"
Style: misc-dreamscape\杂项梦境,"dreamscape {prompt} . surreal, ethereal, dreamy, mysterious, fantasy, highly detailed","realistic, concrete, ordinary, mundane"
Style: misc-dystopian\杂项反乌托邦,"dystopian style {prompt} . bleak, post-apocalyptic, somber, dramatic, highly detailed","ugly, deformed, noisy, blurry, low contrast, cheerful, optimistic, vibrant, colorful"
Style: misc-fairy tale\杂项童话,"fairy tale {prompt} . magical, fantastical, enchanting, storybook style, highly detailed","realistic, modern, ordinary, mundane"
Style: misc-gothic\杂哥特式,"gothic style {prompt} . dark, mysterious, haunting, dramatic, ornate, detailed","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, cheerful, optimistic"
Style: misc-grunge\杂项垃圾摇滚,"grunge style {prompt} . textured, distressed, vintage, edgy, punk rock vibe, dirty, noisy","smooth, clean, minimalist, sleek, modern, photorealistic"
Style: misc-horror\杂恐怖,"horror-themed {prompt} . eerie, unsettling, dark, spooky, suspenseful, grim, highly detailed","cheerful, bright, vibrant, light-hearted, cute"
Style: misc-kawaii\杂卡哇伊,"kawaii style {prompt} . cute, adorable, brightly colored, cheerful, anime influence, highly detailed","dark, scary, realistic, monochrome, abstract"
Style: misc-lovecraftian\ 杂项洛夫克拉夫特式,"lovecraftian horror {prompt} . eldritch, cosmic horror, unknown, mysterious, surreal, highly detailed","light-hearted, mundane, familiar, simplistic, realistic"
Style: misc-macabre\杂项恐怖,"macabre style {prompt} . dark, gothic, grim, haunting, highly detailed","bright, cheerful, light-hearted, cartoonish, cute"
Style: misc-manga\杂漫,"manga style {prompt} . vibrant, high-energy, detailed, iconic, Japanese comic style","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, Western comic style"
Style: misc-metropolis\杂项大都会,"metropolis-themed {prompt} . urban, cityscape, skyscrapers, modern, futuristic, highly detailed","rural, natural, rustic, historical, simple"
Style: misc-minimalist\ 杂项简约,"minimalist style {prompt} . simple, clean, uncluttered, modern, elegant","ornate, complicated, highly detailed, cluttered, disordered, messy, noisy"
Style: misc-monochrome\杂色-单色,"monochrome {prompt} . black and white, contrast, tone, texture, detailed","colorful, vibrant, noisy, blurry, deformed"
Style: misc-nautical\杂航海,"nautical-themed {prompt} . sea, ocean, ships, maritime, beach, marine life, highly detailed","landlocked, desert, mountains, urban, rustic"
Style: misc-space\杂项空间,"space-themed {prompt} . cosmic, celestial, stars, galaxies, nebulas, planets, science fiction, highly detailed","earthly, mundane, ground-based, realism"
Style: misc-stained glass\杂色玻璃,"stained glass style {prompt} . vibrant, beautiful, translucent, intricate, detailed","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic"
Style: misc-techwear fashion\misc-techwear 时尚,"techwear fashion {prompt} . futuristic, cyberpunk, urban, tactical, sleek, dark, highly detailed","vintage, rural, colorful, low contrast, realism, sketch, watercolor"
Style: misc-tribal\杂项部落,"tribal style {prompt} . indigenous, ethnic, traditional patterns, bold, natural colors, highly detailed","modern, futuristic, minimalist, pastel"
Style: misc-zentangle\杂项 zentangle,"zentangle {prompt} . intricate, abstract, monochrome, patterns, meditative, highly detailed","colorful, representative, simplistic, large fields of color"
Style: papercraft-collage\ 纸艺拼贴,"collage style {prompt} . mixed media, layered, textural, detailed, artistic","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic"
Style: papercraft-flat papercut\纸艺-平面剪纸,"flat papercut style {prompt} . silhouette, clean cuts, paper, sharp edges, minimalist, color block","3D, high detail, noise, grainy, blurry, painting, drawing, photo, disfigured"
Style: papercraft-kirigami\剪纸剪纸,"kirigami representation of {prompt} . 3D, paper folding, paper cutting, Japanese, intricate, symmetrical, precision, clean lines","painting, drawing, 2D, noisy, blurry, deformed"
Style: papercraft-paper mache\纸艺纸浆,"paper mache representation of {prompt} . 3D, sculptural, textured, handmade, vibrant, fun","2D, flat, photo, sketch, digital art, deformed, noisy, blurry"
Style: papercraft-paper quilling\纸艺-衍纸,"paper quilling art of {prompt} . intricate, delicate, curling, rolling, shaping, coiling, loops, 3D, dimensional, ornamental","photo, painting, drawing, 2D, flat, deformed, noisy, blurry"
Style: papercraft-papercut collage\剪纸拼贴,"papercut collage of {prompt} . mixed media, textured paper, overlapping, asymmetrical, abstract, vibrant","photo, 3D, realistic, drawing, painting, high detail, disfigured"
Style: papercraft-papercut shadow box\剪纸-剪纸影子盒,"3D papercut shadow box of {prompt} . layered, dimensional, depth, silhouette, shadow, papercut, handmade, high contrast","painting, drawing, photo, 2D, flat, high detail, blurry, noisy, disfigured"
Style: papercraft-stacked papercut\ 纸艺堆叠剪纸,"stacked papercut art of {prompt} . 3D, layered, dimensional, depth, precision cut, stacked layers, papercut, high contrast","2D, flat, noisy, blurry, painting, drawing, photo, deformed"
Style: papercraft-thick layered papercut\厚厚的分层剪纸,"thick layered papercut art of {prompt} . deep 3D, volumetric, dimensional, depth, thick paper, high stack, heavy texture, tangible layers","2D, flat, thin paper, low stack, smooth texture, painting, drawing, photo, deformed"
Style: photo-alien\照片外星人,"alien-themed {prompt} . extraterrestrial, cosmic, otherworldly, mysterious, sci-fi, highly detailed","earthly, mundane, common, realistic, simple"
Style: photo-film noir\ 黑色电影,"film noir style {prompt} . monochrome, high contrast, dramatic shadows, 1940s style, mysterious, cinematic","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, vibrant, colorful"
Style: photo-hdr\ 照片-hdr,"HDR photo of {prompt} . High dynamic range, vivid, rich details, clear shadows and highlights, realistic, intense, enhanced contrast, highly detailed","flat, low contrast, oversaturated, underexposed, overexposed, blurred, noisy"
Style: photo-long exposure\长时间曝光照片,"long exposure photo of {prompt} . Blurred motion, streaks of light, surreal, dreamy, ghosting effect, highly detailed","static, noisy, deformed, shaky, abrupt, flat, low contrast"
Style: photo-neon noir\ 黑色霓虹灯照片,"neon noir {prompt} . cyberpunk, dark, rainy streets, neon signs, high contrast, low light, vibrant, highly detailed","bright, sunny, daytime, low contrast, black and white, sketch, watercolor"
Style: photo-silhouette\照片剪影,"silhouette style {prompt} . high contrast, minimalistic, black and white, stark, dramatic","ugly, deformed, noisy, blurry, low contrast, color, realism, photorealistic"
Style: photo-tilt-shift\摄影移轴,"tilt-shift photo of {prompt} . Selective focus, miniature effect, blurred background, highly detailed, vibrant, perspective control","blurry, noisy, deformed, flat, low contrast, unrealistic, oversaturated, underexposed"
______Advanced GPT Styles ______高级 GPT 样式,,
Style: Space art\空间艺术,"galactic style {prompt} . nebula, constellation, cosmic, celestial, highly detailed, starry","blurry, grainy, deformed, photo-realistic, low-contrast, terrestrial"
Style: Street art\街头艺术,"urban graffiti style {prompt} . vibrant, edgy, street art, underground, spray paint effect","clean, minimalistic, soft, gentle, blurry, off-center"
Style: Baroque\巴洛克,"baroque rendition of {prompt} . opulent, grand, ornate, dramatic, detailed, decorative,minimalist"," modern, simple, clean, unadorned, geometric"
Style: Abstract\抽象,abstract photo of {prompt}. Artistic," unique, creative, unconventional, concrete, literal, conventional, uncreative"
Style: Pointillism\点画派,"pointillist technique on {prompt} . tiny dots of color, optical blend, detailed, vibrant, rich,solid"," monochromatic, bland, minimalist, soft, blurry"
Style: Impressionist\印象派,"Impressionist style {prompt} . loose brushwork, light and color, ordinary subjects, highly detailed","tight brushwork, black and white, extraordinary subjects, undetailed"
Style: Pop art\波普艺术,"pop art {prompt} . vibrant, mass culture, comic style, bold lines, ironic","soft, elegant, high culture, realistic, subtle lines"
Style: Minimalist\简约,{prompt} sporting minimalist fashion. Simple," clean lines, neutral colors, unfussy, vintage, boho, flamboyant, colorful"
Style: Art Deco\装饰艺术,"art deco interpretation of {prompt} . geometric, bold, symmetrical, ornate, detailed, decorative,soft"," organic, asymmetrical, minimalist, simple"
Style: Cubist\立体派,"Cubist style {prompt} . geometric, multi-perspective, fragmented, highly detailed","organic, single perspective, whole, undetailed"
Style: Dada\达达,"dadaist version of {prompt} . anti-art, absurd, random, satirical, mixed media, collage,traditional"," sensible, serious, realistic, photorealistic"
Style: Victorian\维多利亚风格,"Victorian style {prompt} . 19th century, ornate, romantic, highly detailed","21st century, minimal, unemotional, undetailed"
Style: Art Nouveau\新艺术风格,"art nouveau style {prompt} . elegant, ornate, flowing lines, detailed, decorative,simple"," modern, sharp, minimalistic, geometric, unadorned"
Style: Futuristic\未来派,{prompt} in futuristic fashion. Metallic," geometric, avant-garde, high-tech, vintage, classic, traditional, retro"
Style: Medieval\中世纪,"medieval style {prompt} . historical, ornate, religious, gothic","modern, simple, secular, minimalist"
Style: Industrial\工业风,"industrial style {prompt} . mechanical, robust, urban, gritty","natural, fragile, rural, clean"
Style: Vaporwave\蒸汽波,"vaporwave style {prompt} . retro, neon, pixelated, nostalgic","modern, monochrome, high-resolution, forward-looking"
Style: Horror\恐怖,"horror style {prompt} . dark, eerie, gothic, macabre","light, cheerful, minimalist, happy"
Style: Gothic\哥特式,{prompt} in a gothic getup. Dark," leather, lace, Victorian influence, preppy, pastel, boho, bright"
Style: Steampunk\蒸汽朋克,"steampunk-inspired {prompt} . gears, brass, rivets, old-world technology, intricate, highly detailed, Victorian,ugly"," deformed, noisy, blurry, minimalistic, sleek"
Style: Retro\复古,"retro style {prompt} . vintage, nostalgic, old-fashioned, highly detailed","modern, futuristic, forward-looking, low detail"
Style: Surrealist\超现实主义,"Surrealist style {prompt} . dreamlike, irrational, unexpected juxtapositions, highly detailed","realistic, rational, expected combinations, undetailed"
Style: Realism\现实主义,"realism style {prompt} . lifelike, detailed, accurate, representational","abstract, simplistic, inaccurate, non-representational"
Style: Silhouette\剪影,silhouette photo of {prompt}. Dramatic," backlighting, mysterious, creative, frontlit, clear, detailed, revealing"
Style: Collage\拼贴,"collage of {prompt} . mixed media, eclectic, detailed, layered, creative,uniform"," minimalistic, simple, clean, digital, monochromatic"
Style: Watercolor\水彩,"watercolor painting of {prompt} . fluid, soft edges, light colors, translucent, delicate, dreamy,hard"," geometric, precise, opaque, harsh, dark, sharp, digital, pixelated"
Style: Calligraphy\书法,"calligraphy style {prompt} . elegant, flowing, precise, detailed, intricate, hand-drawn,bold"," blocky, geometric, rough, digital, simple"
Style: Expressionist\表现主义,"Expressionist style {prompt} . emotional, distorted, individual perspective, highly detailed","unemotional, realistic, collective perspective, undetailed"
Style: Fauvist\野兽派,"Fauvist style {prompt} . bold color, wild brushwork, simplification, highly detailed","muted color, careful brushwork, detail, undetailed"
Style: Renaissance\文艺复兴,"Renaissance style {prompt} . humanism, realism, perspective, highly detailed","abstract, surreal, flat, undetailed"
Style: Photorealistic\写实,"photorealistic {prompt} . highly detailed, lifelike, precise, accurate","abstract, low detail, unrealistic, inaccurate"
Style: Symbolic\象征性,"symbolic style {prompt} . conceptual, representative, allegorical, highly detailed","literal, non-representative, factual, low detail"
Style: Avant-garde\前卫,"avant-garde style {prompt} . experimental, innovative, non-traditional","traditional, conventional, classic"
Style: Mosaic\马赛克,"mosaic of {prompt} . tiled, geometric, vibrant, intricate, decorative,soft"," organic, loose, simple, smooth, unpatterned"
Style: Trompe l'oeil\错视画,"trompe l'oeil style {prompt} . deceptive, 3D effect, realistic, highly detailed","honest, 2D effect, unrealistic, low detail"
Style: Rococo\洛可可,"Rococo style {prompt} . ornate, pastel, love and nature themes, highly detailed","simple, dark, abstract, undetailed"
Style: Macabre\恐怖,"macabre style {prompt} . dark, eerie, grotesque, highly detailed","light, cheerful, beautiful, low detail"
Style: Satirical\讽刺,"satirical style {prompt} . humorous, ironic, exaggerated, critical","serious, literal, realistic, complimentary"
Style: Pixelated\像素化,"pixelated style {prompt} . retro, low-res, digital, blocky","modern, high-res, organic, smooth"
Style: Futurist\未来主义,"Futurist style {prompt} . dynamic, technology, speed, highly detailed","static, nature, slow, undetailed"
Style: Primitive\ 原始,"primitive style {prompt} . raw, simple, naive, highly detailed","refined, complex, sophisticated, low detail"
Style: Byzantine\拜占庭式,"Byzantine style {prompt} . religious, iconography, gold, highly detailed, mosaics","secular, simple, bronze, minimalist, paintings"
Style: Psychedelic\迷幻,"psychedelic version of {prompt} . vibrant color, distorted visuals, swirling patterns, trippy, detailed, intricate,neutral"," realistic, orderly, simple, clear, photorealistic"
Style: Suprematist\至上主义,"suprematist style {prompt} . geometric, abstract, non-objective, simple","organic, realistic, objective, complex"
Style: Constructivist\建构主义,"Constructivist style {prompt} . industrial, geometric, socialist, highly detailed","organic, round, capitalist, undetailed"
Style: De Stijl\风格派,"de Stijl style {prompt} . abstract, geometric, primary colors,organic"," curvilinear, muted colors, black and white"
Style: Ukiyo-e\浮世绘,"ukiyo-e style {prompt} . Japanese woodblock prints, flat areas of color, detailed patterns, subjects from history and mythology, highly detailed","modern, 3D, CG, western art styles, black and white"
Style: Dystopian\反乌托邦,"dystopian style {prompt} . bleak, oppressive, futuristic, detailed","utopian, cheerful, historical, low detail"
Style: Biomechanical\生物力学,"biomechanical style {prompt} . organic meets mechanical, alien, detailed, H.R. Giger-inspired","geometric, earthy, low detail, not H.R. Giger-inspired"
Style: Hyperrealism\超现实主义,"hyperrealistic {prompt} . photorealistic, extreme detail, lifelike, crisp, precise,blurry"," abstract, loose, impressionistic, simple, symbolic"
Style: Glitch\故障,"glitch style {prompt} . digital error, distorted, cyber, detailed","analog, undistorted, organic, low detail"
Style: Trompe-l'oeil\ 错视画,"trompe-l'oeil style {prompt} . optical illusion, lifelike, 3D effect, detailed","flat, 2D effect, unrealistic, low detail"
Style: Arabesque\阿拉伯式花纹,"arabesque style {prompt} . geometric patterns, floral, Islamic art, detailed","chaotic, animalistic, non-Islamic art, low detail"
Style: Brutalist\野兽派,"brutalist style {prompt} . raw, rugged, geometric, concrete, detailed","smooth, delicate, curvilinear, abstract, low detail"
Style: Chiaroscuro\明暗对比,"chiaroscuro technique on {prompt} . high contrast, dramatic, realistic, refined, tonal,flat"," dull, abstract, impressionistic, simple"
Style: Tenebrism\ 暗色主义,"tenebrism style {prompt} . dark, dramatic illumination, high contrast, detailed","light, flat lighting, low contrast, low detail"
Style: Romantic\浪漫,"romantic style {prompt} . emotional, dramatic, nature-focused, detailed","unemotional, flat, city-focused, low detail"
Style: Bauhaus\包豪斯,"bauhaus style {prompt} . functional, geometric, minimal, detailed","ornamental, curvilinear, maximal, low detail"
Style: Art brut\ 原生艺术,"art brut style {prompt} . raw, outsider art, naïve, detailed","refined, mainstream art, sophisticated, low detail"
Style: Metaphysical\形而上学,"metaphysical style {prompt} . surreal, eerie, uncanny, detailed","realistic, comfortable, familiar, low detail"
Style: Neoplasticism\新造型主义,"neoplasticism style {prompt} . geometric, primary colors, black and white, abstract","organic, muted colors, colorful, realistic"
Style: Hard-edge\硬边,"hard-edge style {prompt} . geometric, flat colors, precision, detailed","organic, gradient colors, imprecise, low detail"
Style: Automatism\自动主义,"automatism style {prompt} . unconscious, spontaneous, abstract, detailed","conscious, planned, realistic, low detail"
Style: Tachisme\塔其主义,"tachisme style {prompt} . gestural, abstract, spontaneous, detailed","controlled, realistic, planned, low detail"
Style: Lyrical abstraction\抒情抽象,"lyrical abstraction style {prompt} . emotional, non-figurative, expressive, detailed","unemotional, figurative, restrained, low detail"
Style: Color field\色域,"color field style {prompt} . flat, large fields of color, minimal, detailed","textured, small patches of color, maximal, low detail"
Style: Synthetism\综合主义,"synthetism style {prompt} . simplified, symbolic, bright colors, detailed","complex, literal, muted colors, low detail"
Style: Cloisonnism\景泰蓝,"cloisonnism style {prompt} . bold outlines, flat colors, decorative, detailed","soft outlines, gradient colors, functional, low detail"
Style: Assemblage\组合,"assemblage style {prompt} . three-dimensional, found objects, eclectic, detailed","two-dimensional, traditional materials, uniform, low detail"
Style: Vorticism\旋涡主义,"vorticism style {prompt} . geometric, abstract, dynamic, detailed","organic, realistic, static, low detail"
Style: Op art\欧普艺术,"op art style {prompt} . optical illusions, geometric, black and white, detailed","no illusions, organic, colorful, low detail"
Style: Divisionism\分裂主义,"divisionism style {prompt} . color theory, dot technique, vibrant, detailed","black and white, smooth technique, muted, low detail"
Style: Kinetic art\动感艺术,"kinetic art style {prompt} . movement, dynamic, interactive, detailed","static, static, non-interactive, low detail"
Style: Orphism\ 奥尔弗斯主义,"orphism style {prompt} . pure color, abstract, musical, detailed","mixed color, realistic, non-musical, low detail"
Style: Suprematism\至上主义,"Suprematism style {prompt} . geometric, non-objective, primary colors, highly detailed","organic, objective, pastel colors, undetailed"
Style: Letterism\ 字母主义,"letterism style {prompt} . letters, typographic, abstract, detailed","images, non-typographic, realistic, low detail"
Style: Situationalist\情境主义,"situationalist style {prompt} . political, collage, detournement, detailed","apolitical, single medium, straightforward, low detail"
Style: Sound art\声音艺术,"sound art style {prompt} . auditory, abstract, non-visual, detailed","visual, realistic, silent, low detail"
Style: Land art\大地艺术,"land art style {prompt} . natural materials, outdoor, environmental, detailed","synthetic materials, indoor, non-environmental, low detail"
Style: Photorealistic graffiti\写实涂鸦,"photorealistic graffiti style {prompt} . urban, street art, lifelike, detailed","rural, gallery art, abstract, low detail"
Style: Hypermodern\超现代,"hypermodern style {prompt} . postmodern, technology focused, sleek, detailed","premodern, nature focused, rustic, low detail"
Style: Virtual realism\虚拟现实主义,"virtual realism style {prompt} . digital, lifelike, immersive, detailed","analog, abstract, non-immersive, low detail"
Style: Structural film款式: 结构膜,"structural film style {prompt} . experimental, non-narrative, texture, detailed","traditional, narrative, smooth, low detail"
Style: Process art\工艺美术,"process art style {prompt} . creation focused, ephemeral, documentation, detailed","result focused, permanent, no documentation, low detail"
Style: Light and space\光与空间,"light and space style {prompt} . perceptual phenomena, immersive, minimal, detailed","solid objects, non-immersive, maximal, low detail"
Style: Post-internet\后互联网,"post-internet style {prompt} . digital culture, technology, online, detailed","pre-internet, nature, offline, low detail"
Style: Bio-art\生物艺术,"bio-art style {prompt} . living organisms, ethical, natural, detailed","inorganic, unethical, synthetic, low detail"
______GPT Cultural Styles______GPT 文化风格,,
Style: Celtic\凯尔特风格,"Celtic style {prompt} . geometric patterns, intricate knots, medieval, highly detailed","random, simplistic, modern, undetailed"
Style: Native American\美洲原住民,"Native American style {prompt} . traditional patterns, tribal, cultural symbols, highly detailed","modern, non-tribal, abstract, undetailed"
Style: Aboriginal\原住民,"Aboriginal style {prompt} . Australian indigenous, dot painting, storytelling, highly detailed","non-Australian, line drawing, non-narrative, undetailed"
Style: Egyptian\埃及风格,"Egyptian style {prompt} . hieroglyphs, gods and goddesses, Pharaohs, highly detailed","non-Egyptian, text-free, secular, undetailed"
Style: Mayan\玛雅,"Mayan style {prompt} . glyphs, ancient civilization, detailed carvings, highly detailed","modern, non-Mayan, simplistic, undetailed"
Style: Mughal\莫卧儿风格,"Mughal style {prompt} . Indian and Persian influence, miniature paintings, highly detailed","non-Indian, non-Persian, large-scale, undetailed"
Style: Romanesque\罗马式,"Romanesque style {prompt} . medieval, religious, thick walls, highly detailed","modern, secular, transparent, undetailed"
Style: Pre-Raphaelite\拉斐尔前派,"Pre-Raphaelite style {prompt} . romantic, vivid color, medieval subjects, highly detailed","realistic, muted color, modern subjects, undetailed"
Style: Socialist Realist\社会主义现实主义,"Socialist Realist style {prompt} . idealized, political, proletarian, highly detailed","realistic, apolitical, bourgeois, undetailed"
Style: Pop Art\波普艺术,"pop art style {prompt} . bold colors, mass culture, comic style, ironical, vibrant, detailed,neutral"," realistic, serious, dull, monochromatic, photographic"
Style: Symbolist\象征主义,"Symbolist style {prompt} . mythical, dreamy, spiritual, highly detailed","realistic, practical, secular, undetailed"
Style: Pre-Columbian\前哥伦布时期,"Pre-Columbian style {prompt} . ancient Americas, native, cultural, highly detailed","modern, non-American, abstract, undetailed"
Style: Precisionist\ 精确主义者,"Precisionist style {prompt} . industrial, crisp, geometric, highly detailed","organic, blurry, round, undetailed"
Style: Neoclassical\新古典主义,"Neoclassical style {prompt} . ancient Rome and Greece, rational, heroic, highly detailed","modern, emotional, ordinary, undetailed"
Style: Persian Miniature\波斯微型,"Persian Miniature style {prompt} . Middle Eastern, intricate, storytelling, highly detailed","Western, simple, non-narrative, undetailed"
Style: Edo\江户,"Edo style {prompt} . Japanese, woodblock prints, floating world, highly detailed","non-Japanese, oil painting, real world, undetailed"
Style: Tribal\部落,"Tribal style {prompt} . African, indigenous, symbolic, highly detailed","non-African, mainstream, abstract, undetailed"
Style: Tibetan Thangka\藏族唐卡,"Tibetan Thangka style {prompt} . spiritual, Buddhist, meditation, highly detailed","secular, non-Buddhist, disturbing, undetailed"
Style: Greek Classical\希腊古典,"Greek Classical style {prompt} . ancient, mythology, balanced, highly detailed","modern, everyday life, unbalanced, undetailed"
Style: African\非洲,"African style {prompt} . tribal, symbolic, cultural, highly detailed","non-African, abstract, non-cultural, undetailed"
Style: Russian Iconography\俄罗斯肖像,"Russian Iconography style {prompt} . religious, orthodox, gold, highly detailed","secular, non-orthodox, silver, undetailed"
Style: Nordic\北欧,"Nordic style {prompt} . Scandinavian, minimal, nature, highly detailed","non-Scandinavian, maximal, urban, undetailed"
Style: Inuit\因纽特人,"Inuit style {prompt} . Arctic, stone carving, animal figures, highly detailed","tropical, wood carving, human figures, undetailed"
Style: Maori\毛利语,"Maori style {prompt} . New Zealand, tattoo, spiritual, highly detailed","non-New Zealand, body paint, secular, undetailed"
Style: Iznik\伊兹尼克,"Iznik style {prompt} . Turkish, ceramic, floral, highly detailed","non-Turkish, canvas, geometric, undetailed"
Style: Ottoman\奥斯曼,"Ottoman style {prompt} . Islamic, calligraphy, miniatures, highly detailed","non-Islamic, typography, large-scale, undetailed"
Style: Hanami\花见,"Hanami style {prompt} . Japanese, cherry blossoms,spring, highly detailed","non-Japanese, winter, abstract, undetailed"
Style: Mandala\曼陀罗,"Mandala style {prompt} . spiritual, geometric, symmetrical, highly detailed","secular, organic, asymmetrical, undetailed"
Style: Aztec\阿兹特克风格,"Aztec style {prompt} . ancient Mexico, symbolic, cultural, highly detailed","modern, abstract, non-cultural, undetailed"
Style: Sumi-e\ 墨绘,"Sumi-e style {prompt} . Japanese ink painting, minimal, nature, highly detailed","non-Japanese, colorful, urban, undetailed"
Style: Haida\海达,"Haida style {prompt} . Native American, form line, nature, highly detailed","non-Native American, abstract, urban, undetailed"
Style: Moorish\摩尔风格,"Moorish style {prompt} . Islamic, geometric, Andalusian, highly detailed","non-Islamic, organic, non-Andalusian, undetailed"
Style: Pueblo\普韦布洛,"Pueblo style {prompt} . Native American, traditional, pottery, highly detailed","non-Native American, modern, photography, undetailed"
Style: Cloisonné\景泰蓝,"Cloisonné style {prompt} . metalwork, enamel, intricate, highly detailed","woodwork, paint, simple, undetailed"
